Experiment,Rows,MAE,RMSE,R2
"Median imputation, no scaling, 5-95% target cap",646165,55.57850343662613,73.40831396635741,0.10938081550908862
"Median imputation, no scaling, 1-99% target cap",703460,74.06269661154431,110.20968875255181,0.11256914465782342
"Median imputation, standard scaling, 1-99% target cap",703460,74.06307961719892,110.20882023102686,0.11258313162705424
"Median imputation, robust scaling, 1-99% target cap",703460,74.06365236766273,110.2099674217437,0.11256465684999517
