Model,MAE,RMSE,R2,Rank_MAE,Rank_RMSE,Rank_R2
Random Forest,73.69226833424659,109.9077522793688,0.11742499178997423,1,1,1
Gradient Boosting,73.87105311484491,110.1751614682419,0.11312509900529089,2,2,2
Linear Regression,74.24636579809642,111.05102245481177,0.09896824729440734,3,4,4
Ridge Regression,74.24638353602614,111.05100956780464,0.09896845641633523,4,3,3
Decision Tree,75.12222808248683,111.58082699995366,0.09035041681548983,5,5,5
