Model,MAE,RMSE,R2
Linear Regression,74.24636579809642,111.05102245481177,0.09896824729440734
Ridge Regression,74.24638353602614,111.05100956780464,0.09896845641633523
Decision Tree,75.56702293027922,111.8341677348942,0.08621506639142995
Dummy Mean,80.23151352665217,116.9910181326525,-3.222916777900764e-08
