Scenario,MAE,RMSE,R2
Original test set,73.69226833424659,109.9077522793688,0.11742499178997412
5% numeric noise,74.28173450682573,110.38275676462555,0.10977979849979547
5% artificial missing values,73.93201299647613,110.64901026458261,0.10548003078924306
